product_id,product_name,markets,min_price_usd,median_price_usd,max_price_usd,relative_price_range_pct
28508,LEN,46,2.651079596269324,5.172413793103448,11.482758620689655,170.74579447212642
31841,EDSVIK,34,43.15033018257154,65.51724137931033,155.64309270795164,171.69947964400123
58487,FLYTTA,16,162.03703703703704,201.53503201307882,246.1159821565913,41.7192704810238
69768,OMAR,37,17.99329063738945,34.42528735632184,57.45977011494253,114.64386359088874
81534,KONCIS,46,2.7529249827942186,5.742752414154946,9.949937421777221,125.32339756183018
89163,KONCIS,46,2.7529249827942186,5.23170954205437,8.69837296620776,113.64254715637183
100467,PAPPIS,23,1.0685591858596681,1.3227513227513228,2.44299674267101,103.90747929493745
102065,LYCKSELE LÖVÅS,35,76.24275693809088,137.9310344827586,221.87708009762594,105.58488429066293
102452,MYDAL,44,214.64465183058147,268.9150293431113,554.6372309740404,126.43122995913299
102975,SAMLA,46,6.4939324368645455,10.686168639716096,22.132238739738188,146.34156384873515
103343,MALM,11,34.47126436781609,57.45977011494253,90.52137754558055,97.54670627056427
104291,LACK,27,39.2915710068875,51.72413793103448,83.14843576658532,84.7899385354158
110640,LERSTA,38,13.053460150869137,23.176817435438124,62.275558812751925,212.37643519865054
111994,ALBERT,12,21.839080459770113,26.090207373790438,34.47126436781609,48.417338072735866
118523,PACHIRA AQUATICA,16,40.2183908045977,57.45977011494253,78.35243412675091,66.36650868228303
130129,SAMLA,44,5.419275158638899,10.407131972709582,19.99,140.0071112730157
130167,DUKTIG,44,9.11863372979567,12.89051118786113,28.23446327683616,148.2938051754044
132798,GOSIG GOLDEN,45,4.972105106256121,10.798016230838593,23.799926713081714,174.36370907699026
138432,BRANÄS,45,10.636259103104637,19.317300232738557,53.11469402711616,219.89840408454157
141401,FABLER BJÖRN,45,1.24835330280409,1.99,3.1879731314639086,97.46833309848334
146776,FORSÅ,9,19.841269841269842,22.97701149425287,28.72413793103448,38.65980609352294
149459,IKEA 365+ HJÄLTE,7,1.1045987376014428,6.577500916086478,8.264921233636565,108.86083616534737
152159,IKEA 365+ VÄRDEFULL,32,2.675415104445635,4.591954022988506,9.949937421777221,158.4188840069707
159014,BYHOLMA,15,9.325197415649678,11.482758620689655,17.229885057471265,68.83962210595377
165213,URBAN,46,37.15770197180699,52.778795455108046,109.8387687797728,137.7088396604011
177225,STÖDJA,14,2.6525198938992043,3.8480393041390535,6.257822277847309,93.69193241010156
185287,OLEBY,16,11.44902634593356,15.535102051559164,32.172413793103445,133.39717613950276
186041,LÄMPLIG,32,1.136756783472545,3.490010893246187,7.078375051292573,170.24641038565676
186395,SKUBB,35,11.559348332040342,17.91530944625407,32.47809762202753,116.76465512774668
190689,DUKTIG,45,1.9803245176951576,4.586206896551724,9.60912052117264,166.34216849687743
204653,UTRUSTA,15,9.886307464162135,14.40576230492197,16.883116883116884,48.56951871657755
204672,UTRUSTA,27,13.840977811847877,23.073373327180434,34.48275862068965,89.46147802552025
205431,VEDDINGE,8,21.347971942665446,25.223192725366008,39.08045977011494,70.3023127187884
205501,BODBYN,10,24.715768660405338,41.9986038694837,67.81609195402298,102.62322868530983
205539,METOD,5,40.229885057471265,58.355437665782496,117.2316384180791,131.95300462249614
205662,UTRUSTA,22,11.754334410813987,25.209815727057105,35.632183908045974,94.71647772341488
208670,TORKAD,46,1.9803245176951576,3.4124352658835417,5.735632183908046,110.0477334693284
211088,STEFAN,38,18.30238726790451,34.735632183908045,91.51703920850129,210.7767941373898
214505,KOMPLEMENT,46,5.4552992777183755,14.180513694095044,29.314767314034444,168.25531536457294
215307,HEKTAR,46,57.268041237113394,76.31437190260719,146.55551484060095,116.99955247936353
217165,RÄCKA,15,1.064690600911375,2.7179942311959175,7.18096019696348,225.0287924033211
217194,VÄSENTLIG,18,2.2317403065825068,4.586206896551724,7.446808510638298,113.71201347189319
217797,GUNDE,46,7.442187300370512,11.923038127340906,22.132238739738188,123.20728393614448
219763,PLANERA,12,2.3376623376623376,2.791629103748779,4.380475594493117,73.17638486027955
221596,KNUBBIG,12,11.482758620689655,16.086206896551722,22.584745762711865,69.01556851417881
222671,VARDÖ,18,22.95834699901607,34.47126436781609,58.53502505597612,103.20676862139129
226315,VARIERA,46,0.49431537320810676,1.3053034207511085,4.99,344.4168271776189
228705,BRIMNES,46,176.4512955067235,286.2068965517241,479.2621814692398,105.80139389051774
233429,APTITLIG,45,10.760947595118449,17.229885057471265,32.94594306429257,128.75881292982982
236239,LÄTTAD,45,2.8636884306987396,5.433006535947712,10.651455379038278,143.341755560415
239233,TUFFING,44,112.85364782635969,171.26436781609195,311.3777940637596,115.91678337351539
241815,DRUVFLÄDER,10,7.171572146446518,9.401652672813778,14.99,83.16014349436225
242278,FABRIKÖR,35,133.06666666666666,182.75862068965517,319.756903721079,102.15126178448979
245842,BESTÅ,14,52.47622171203673,70.96216486265267,127.32278045423261,105.47389427459191
