product_id,product_name,median_value_score,mean_value_score,markets_evaluated,median_weighted_rating,median_price_usd,max_review_count
28508,LEN,0.7097457627118644,0.6069753307388757,25,4.596070710694419,5.044474956719002,645.0
31841,EDSVIK,-0.11670761670761665,-0.11007227842770069,17,4.494805685099355,63.218390804597696,137.0
57256,BLANDA BLANK,0.011904761904761862,0.026666882566778998,3,4.6979811554493125,13.503155996393147,2164.0
69768,OMAR,0.23113207547169812,0.22724081482628586,19,4.591596390936774,34.27368008619845,292.0
81534,KONCIS,-0.5032,-0.48128008512828735,27,3.724233299804635,5.9990770650669125,543.0
89163,KONCIS,0.08074534161490676,0.006160830383206693,29,4.598297307967582,5.145977735769796,1724.0
100467,PAPPIS,0.8748385012919897,0.830676729674664,10,4.692352224288889,1.1642296874367424,558.0
102065,LYCKSELE LÖVÅS,0.2641203703703704,0.2183564344794583,16,4.497659538344187,137.9310344827586,326.0
102452,MYDAL,-0.2788697788697788,-0.2803796606558693,23,4.49856228784,263.2183908045977,542.0
102975,SAMLA,0.5576875788483332,0.49654220171138963,36,4.599620411072475,10.499649551049469,6845.0
103343,MALM,0.19703389830508466,0.15870975344379862,7,4.599013959572445,57.45977011494253,2624.0
104291,LACK,0.13910482721162334,0.0947966936521376,16,4.499272702069016,50.76533218785796,1089.0
110640,LERSTA,0.09428907365415304,0.044472873790359455,20,4.499435400554278,22.97701149425287,1408.0
111994,ALBERT,-0.20854922279792748,-0.2718932747926656,11,4.213357212762791,25.40216086434574,326.0
118523,PACHIRA AQUATICA,-0.6390579220193824,-0.6448398695762639,12,4.403338527484564,52.867816091954026,280.0
130129,SAMLA,0.5726444759749971,0.5543489259393531,34,4.599620411072475,9.189655172413794,6845.0
130167,DUKTIG,0.17159763313609466,0.13903295751499917,25,4.792432781939512,11.956782713085234,802.0
132798,GOSIG GOLDEN,0.39160839160839167,0.3764183555981772,31,4.896158772164299,10.798016230838593,2066.0
138432,BRANÄS,-0.6362126245847175,-0.6343177789070291,27,4.302098259151952,18.601234205113137,1314.0
141401,FABLER BJÖRN,0.8230839416058394,0.8172540158158037,30,4.795983741870809,1.9118915030487624,1527.0
