country,median_price_premium_pct,comparable_products
Australia,-0.22833342792654143,7702
Austria,4.275862068965508,9192
Bahrain,-7.6842235715958385,7521
Belgium,0.7289169073315782,8988
Canada,-8.528573576975607,6625
Chile,-6.124562993655314,6355
Colombia,15.443403254701726,4792
Croatia,-2.082166742097369,8386
Czech_Republic,-1.024778289638073,8474
Denmark,0.5367351985658297,8881
Egypt,42.173515345478755,7972
Finland,3.115544236616885,8747
France,1.2702098178265064,9223
Germany,0.0,9442
Hungary,0.9744123335166721,8215
India,-20.224464777456074,5481
Ireland,0.02000400080015563,8698
Italy,-0.06667777962993116,9559
Japan,-22.155895581662715,7346
Jordan,27.13850325293454,8059
Kuwait,2.675913414747211,7970
Malaysia,-10.957588610054291,7250
Mexico,35.77983289719808,6222
Morocco,44.73795012075006,7824
Netherlands,-2.318149689157428,9348
New_Zealand,-0.954255175925145,5584
Norway,16.078633980396095,9146
Oman,-2.5124366908133746,7140
Philippines,-14.218775505000902,6899
Poland,-6.73238852135476,8834
Portugal,0.0,8607
Qatar,-3.845634908218565,8286
Romania,-6.971935606100543,8796
Saudi_Arabia,7.457552878179374,7079
Serbia,-1.4268984623603098,8374
Singapore,0.9038013964313585,7009
Slovakia,-1.658123432062275,8494
Slovenia,0.0,8557
South_Korea,-21.41512457699467,7585
Spain,0.0,8932
Sweden,-0.24238191816510768,9710
Switzerland,26.525959077907068,8840
Thailand,-7.308955799349215,7311
UAE,-5.217057225553157,8505
UK,0.02751351866157048,9209
USA,22.046115646785825,7639
